Row,OverallOrder,ChildIntOrder,Child,aclew_id,old_media_name,Status,Include,Sample,CodeName,Notes,start.hhmmss,newoffset,Media
15,15,2,P-F42-C01,9999,,0-Pass1,1,random_5mindur_summer2018,random-4,child is being carried up into Nukgha,125308,125308,P-F42-C01_125308_033613
52,52,6,P-F32-C01,9997,,0-Pass1,1,random_5mindur_summer2018,random-5,child is (perhaps) napping while mother and aunt talk.,125705,125705,P-F32-C01_125705_033643
7,7,1,P-F10-C01,9991,,0-Pass1,1,random_5mindur_summer2018,random-4,"child is in the kitchen maybe, with his older sister",111848,111848,P-F10-C01_111848_034343
26,26,3,P-F11-C01,9992,,0-Pass1,1,random_5mindur_summer2018,random-4,child is sleeping while her mother makes a fire,123024,123024,P-F11-C01_123024_034730
84,84,9,P-F23-C01,9994,,0-Pass1,1,random_5mindur_summer2018,random-5,the child is very quiet while extended family prepares for tpilewee,122439,122439,P-F23-C01_122439_035958
4,4,1,P-F31-C01,9996,,0-Pass1,1,random_5mindur_summer2018,random-5,child is talking to father alone on the veranda,133259,133259,P-F31-C01_133259_040636
82,82,9,P-F13-C01,9993,,0-Pass1,1,random_5mindur_summer2018,random-4,the child is sitting quietly with his extended family around him,133706,133706,P-F13-C01_133706_041903
42,42,5,P-F32-C01,9997,,0-Pass1,1,random_5mindur_summer2018,random-6,child is sleeping while his mother and cousin sister talk about sorcery and the Bible,134130,134130,P-F32-C01_134130_042108
49,49,5,P-F34-C01,9998,,0-Pass1,1,random_5mindur_summer2018,random-6,"child is waking up from a nap, no one awake is nearby but older sister is also napping nearby",135536,135536,P-F34-C01_135536_042744
48,48,5,P-F13-C01,9993,,0-Pass1,1,random_5mindur_summer2018,random-5,child is preparing food with his older brother,135609,135609,P-F13-C01_135609_043806
9,9,1,P-F42-C01,9999,,0-Pass1,1,random_5mindur_summer2018,random-5,child is quiet while women talk about chopper visit,135907,135907,P-F42-C01_135907_044212
39,39,4,P-F23-C01,9994,,0-Pass1,1,random_5mindur_summer2018,random-6,child is maybe sleeping (does not appear to be wearing the vest),131423,131423,P-F23-C01_131423_044942
89,89,9,P-F11-C01,9992,,0-Pass1,1,random_5mindur_summer2018,random-5,the child is quietly playing with a bushknife around her house,133450,133450,P-F11-C01_133450_045156
10,10,1,P-F28-C01,9995,,0-Pass1,1,random_5mindur_summer2018,random-6,child is sitting with his uncle and babysitter (cousin),151115,151115,P-F28-C01_151115_045439
67,67,7,P-F34-C01,9998,,0-Pass1,1,random_5mindur_summer2018,random-7,child is napping (maybe) while her parents talk about going fishing,143612,143612,P-F34-C01_143612_050820
86,86,9,P-F32-C01,9997,,0-Pass1,1,random_5mindur_summer2018,random-7,the child is sitting with his mother and cousin sister,143123,143123,P-F32-C01_143123_051101
11,11,2,P-F07-C01,9990,,0-Pass1,1,random_5mindur_summer2018,random-5,child is sleeping in mother's lap,133748,133748,P-F07-C01_133748_051603
19,19,2,P-F13-C01,9993,,0-Pass1,1,random_5mindur_summer2018,random-6,child is preparing food with his older brother while sister and mother are nearby,143533,143533,P-F13-C01_143533_051730
18,18,2,P-F31-C01,9996,,0-Pass1,1,random_5mindur_summer2018,random-6,"child is resting in a dark room with mother, eating",145539,145539,P-F31-C01_145539_052916
51,51,6,P-F23-C01,9994,,0-Pass1,1,random_5mindur_summer2018,random-7,"child is waking up from a nap, many people are outside getting ready for tpile wee",140200,140200,P-F23-C01_140200_053719
45,45,5,P-F23-C01,9994,,0-Pass1,1,random_5mindur_summer2018,random-8,child seems to be half asleep while her mother and aunties talk about cooking a big meal,140721,140721,P-F23-C01_140721_054240
54,54,6,P-F34-C01,9998,,0-Pass1,1,random_5mindur_summer2018,random-8,child is playing in the sand at the beach with people talking nearby,151648,151648,P-F34-C01_151648_054856
17,17,2,P-F28-C01,9995,,0-Pass1,1,random_5mindur_summer2018,random-7,child is held by an auntie at the start of the tpile we in Jinjo,160625,160625,P-F28-C01_160625_054949
61,61,7,P-F32-C01,9997,,0-Pass1,1,random_5mindur_summer2018,random-8,child is breastfeeding while the mother talks to the father and a cousinsister,151040,151040,P-F32-C01_151040_055018
70,70,7,P-F10-C01,9991,,0-Pass1,1,random_5mindur_summer2018,random-5,the child is entertaining himself in the house while his parents and sister are nearby,133059,133059,P-F10-C01_133059_055554
55,55,6,P-F42-C01,9999,,0-Pass1,1,random_5mindur_summer2018,random-6,child is trying to crawl on the dry leaves while his auntie cracks nuts and the other women around him wrap sago,153044,153044,P-F42-C01_153044_061349
88,88,9,P-F07-C01,9990,,0-Pass1,1,random_5mindur_summer2018,random-6,the child is having her diaper changed by her father while her brother cries outside,143829,143829,P-F07-C01_143829_061644
76,76,8,P-F13-C01,9993,,0-Pass1,1,random_5mindur_summer2018,random-7,the child first gets eggs from the chickens and then goes to play with his cousin sister.,153640,153640,P-F13-C01_153640_061837
73,73,8,P-F10-C01,9991,,0-Pass1,1,random_5mindur_summer2018,random-6,the child is playing with water with his sister and cousin,135624,135624,P-F10-C01_135624_062119
2,2,1,P-F23-C01,9994,,0-Pass1,1,random_5mindur_summer2018,random-9,child is being carried,144819,144819,P-F23-C01_144819_062338
20,20,2,P-F11-C01,9992,,0-Pass1,1,random_5mindur_summer2018,random-6,child is playing with her siblings,150946,150946,P-F11-C01_150946_062652
58,58,6,P-F31-C01,9996,,0-Pass1,1,random_5mindur_summer2018,random-7,child is sitting on her veranda and talking with her father,160226,160226,P-F31-C01_160226_063603
27,27,3,P-F10-C01,9991,,0-Pass1,1,random_5mindur_summer2018,random-7,child is playing with his sister and his cousin,141214,141214,P-F10-C01_141214_063709
60,60,6,P-F28-C01,9995,,0-Pass1,1,random_5mindur_summer2018,random-8,child is with his father while tpile wee is about to begin,165414,165414,P-F28-C01_165414_063738
68,68,7,P-F31-C01,9996,,0-Pass1,1,random_5mindur_summer2018,random-8,child is peeling potatoes with her father,162024,162024,P-F31-C01_162024_065401
30,30,3,P-F28-C01,9995,,0-Pass1,1,random_5mindur_summer2018,random-9,child is being held at the start of a tpile wee (many people around),172651,172651,P-F28-C01_172651_071015
80,80,8,P-F07-C01,9990,,0-Pass1,1,random_5mindur_summer2018,random-7,the child is in the mother's lap resting while his brother eats a banana,153727,153727,P-F07-C01_153727_071542
8,8,1,P-F13-C01,9993,,0-Pass1,1,random_5mindur_summer2018,random-8,child is playing tag,163840,163840,P-F13-C01_163840_072037
43,43,5,P-F42-C01,9999,,0-Pass1,1,random_5mindur_summer2018,random-7,child is with a cousin from East Point,163854,163854,P-F42-C01_163854_072159
31,31,4,P-F11-C01,9992,,0-Pass1,1,random_5mindur_summer2018,random-7,"child is with brother and cousins, picking up chicks",160529,160529,P-F11-C01_160529_072235
34,34,4,P-F07-C01,9990,,0-Pass1,1,random_5mindur_summer2018,random-8,child is being breastfed by her mother while her brother eats a banana nearby,154433,154433,P-F07-C01_154433_072248
3,3,1,P-F32-C01,9997,,0-Pass1,1,random_5mindur_summer2018,random-9,child is asleep at the mother's breast,164837,164837,P-F32-C01_164837_072815
36,36,4,P-F31-C01,9996,,0-Pass1,1,random_5mindur_summer2018,random-9,child is sitting with cousin out at the Kimb�kp�pu oval before the tpile wee begins,170028,170028,P-F31-C01_170028_073405
16,16,2,P-F34-C01,9998,,0-Pass1,1,random_5mindur_summer2018,random-9,child is in mother's lap while she talks to other women on the veranda,170646,170646,P-F34-C01_170646_073854
59,59,6,P-F07-C01,9990,,0-Pass1,1,random_5mindur_summer2018,random-9,child is waiting to be washed while his mother talks to his brother on the veranda,160737,160737,P-F07-C01_160737_074552
56,56,6,P-F13-C01,9993,,0-Pass1,1,random_5mindur_summer2018,random-9,child is scared of chickens and is asking for help fighting them off from his mother,171114,171114,P-F13-C01_171114_075311
37,37,4,P-F42-C01,9999,,0-Pass1,1,random_5mindur_summer2018,random-8,child is sitting at the Jinjo dormitories with school girls related to his mother,171950,171950,P-F42-C01_171950_080255
41,41,5,P-F11-C01,9992,,0-Pass1,1,random_5mindur_summer2018,random-8,child is playing tag with her siblings and cousins,165630,165630,P-F11-C01_165630_081336
35,35,4,P-F10-C01,9991,,0-Pass1,1,random_5mindur_summer2018,random-8,child is sitting with his grandfather while children play around the house,160546,160546,P-F10-C01_160546_083041
79,79,8,P-F42-C01,9999,,0-Pass1,1,random_5mindur_summer2018,random-9,the child is near his mother who is directing her nephews (for whom she is currently primary caregiver) to bathe,174859,174859,P-F42-C01_174859_083204
63,63,7,P-F11-C01,9992,,0-Pass1,1,random_5mindur_summer2018,random-9,child is playing with her cousins but wants to drink breastmilk,172443,172443,P-F11-C01_172443_084149
44,44,5,P-F10-C01,9991,,0-Pass1,1,random_5mindur_summer2018,random-9,"child is sitting near his mother and auntie, who are telling stories.",164915,164915,P-F10-C01_164915_091410
