tier,speaker,start,stop,dur,val
CHI,CHI,2484,4064,1580,0.
CHI,CHI,6593,6829,236,0.
CHI,CHI,8131,8427,296,0.
CHI,CHI,10272,10681,409,0.
CHI,CHI,11937,12189,252,0.
CHI,CHI,12729,14129,1400,0.
CHI,CHI,16646,19127,2481,0.
CHI,CHI,19653,20039,386,0.
CHI,CHI,20561,20974,413,0.
CHI,CHI,21909,22909,1000,0.
CHI,CHI,23438,24226,788,0.
CHI,CHI,25491,26023,532,0.
CHI,CHI,27865,28083,218,0.
CHI,CHI,30136,30759,623,0.
CHI,CHI,33028,33422,394,0.
CHI,CHI,34549,35233,684,0.
CHI,CHI,36170,36466,296,0.
CHI,CHI,36990,37387,397,0.
CHI,CHI,39551,39886,335,0.
CHI,CHI,42584,43076,492,0.
CHI,CHI,44672,44963,291,0.
CHI,CHI,46672,47325,653,0.
CHI,CHI,48004,48325,321,0.
CHI,CHI,49060,49357,297,0.
CHI,CHI,55073,55946,873,0.
CHI,CHI,56568,58621,2053,0.
CHI,CHI,61930,62568,638,0.
CHI,CHI,65665,66244,579,0.
CHI,CHI,66929,67239,310,0.
CHI,CHI,67397,68764,1367,0.
CHI,CHI,69163,70655,1492,0.
CHI,CHI,73073,73588,515,0.
CHI,CHI,75930,77080,1150,0.
CHI,CHI,78079,79244,1165,0.
CHI,CHI,81450,81849,399,0.
CHI,CHI,82344,82739,395,0.
CHI,CHI,96674,97094,420,0.
CHI,CHI,100256,101263,1007,0.
CHI,CHI,105598,106260,662,0.
CHI,CHI,109372,110785,1413,0.
CHI,CHI,115260,115524,264,0.
CHI,CHI,128048,128337,289,0.
CHI,CHI,137013,137725,712,0.
FA1,FA1,2953,3635,682,0.
FA1,FA1,5390,7540,2150,0.
FA1,FA1,14427,15295,868,0.
FA1,FA1,19159,20900,1741,0.
FA1,FA1,22857,27122,4265,0.
FA1,FA1,28750,29642,892,0.
FA1,FA1,30224,33265,3041,0.
FA1,FA1,71974,72237,263,0.
FA1,FA1,74330,74729,399,0.
FA1,FA1,122831,123127,296,0.
FA1,FA1,123512,125408,1896,0.
FA1,FA1,128205,130288,2083,0.
FA1,FA1,130942,132854,1912,0.
FA1,FA1,134027,134392,365,0.
FA1,FA1,134974,136071,1097,0.
FA1,FA1,141842,142415,573,0.
FC1,FC1,17295,18094,799,0.
FC1,FC1,70355,72203,1848,0.
FC1,FC1,79027,80600,1573,0.
FC1,FC1,85857,87930,2073,0.
FC1,FC1,91983,92935,952,0.
FC1,FC1,112979,113475,496,0.
FC1,FC1,115464,116420,956,0.
FC1,FC1,119251,119868,617,0.
FC1,FC1,148676,149475,799,0.
MC1,MC1,21468,22103,635,0.
MC1,MC1,83127,84598,1471,0.
MC1,MC1,89311,90395,1084,0.
MC1,MC1,92280,93415,1135,0.
MC1,MC1,94522,95946,1424,0.
MC1,MC1,104349,105018,669,0.
MC1,MC1,110719,111524,805,0.
MC1,MC1,111579,111960,381,0.
MC1,MC1,113729,114440,711,0.
MC1,MC1,118627,119146,519,0.
MC1,MC1,119867,120649,782,0.
MC1,MC1,141055,141846,791,0.
MC1,MC1,149499,150228,729,0.
UC1,UC1,75753,75978,225,0.
UC1,UC1,142829,144534,1705,0.
xds@FA1,FA1,2953,3635,682,C
xds@FA1,FA1,5390,7540,2150,C
xds@FA1,FA1,14427,15295,868,C
xds@FA1,FA1,19159,20900,1741,C
xds@FA1,FA1,22857,27122,4265,C
xds@FA1,FA1,28750,29642,892,C
xds@FA1,FA1,30224,33265,3041,C
xds@FA1,FA1,71974,72237,263,C
xds@FA1,FA1,74330,74729,399,C
xds@FA1,FA1,122831,123127,296,C
xds@FA1,FA1,123512,125408,1896,C
xds@FA1,FA1,128205,130288,2083,C
xds@FA1,FA1,130942,132854,1912,C
xds@FA1,FA1,134027,134392,365,C
xds@FA1,FA1,134974,136071,1097,C
xds@FA1,FA1,141842,142415,573,C
xds@FC1,FC1,17295,18094,799,A
xds@FC1,FC1,70355,72203,1848,A
xds@FC1,FC1,79027,80600,1573,T
xds@FC1,FC1,85857,87930,2073,C
xds@FC1,FC1,91983,92935,952,C
xds@FC1,FC1,112979,113475,496,B
xds@FC1,FC1,115464,116420,956,C
xds@FC1,FC1,119251,119868,617,C
xds@FC1,FC1,148676,149475,799,C
xds@MC1,MC1,21468,22103,635,B
xds@MC1,MC1,83127,84598,1471,C
xds@MC1,MC1,89311,90395,1084,C
xds@MC1,MC1,92280,93415,1135,C
xds@MC1,MC1,94522,95946,1424,T
xds@MC1,MC1,104349,105018,669,C
xds@MC1,MC1,110719,111524,805,A
xds@MC1,MC1,111579,111960,381,A
xds@MC1,MC1,113729,114440,711,C
xds@MC1,MC1,118627,119146,519,C
xds@MC1,MC1,119867,120649,782,C
xds@MC1,MC1,141055,141846,791,B
xds@MC1,MC1,149499,150228,729,C
xds@UC1,UC1,75753,75978,225,U
xds@UC1,UC1,142829,144534,1705,U
