tier,speaker,start,stop,dur,val
CHI,CHI,51139,51562,423,0.
CHI,CHI,52050,52437,387,0.
CHI,CHI,53185,53496,311,0.
CHI,CHI,54171,54664,493,0.
CHI,CHI,55323,56110,787,0.
CHI,CHI,57057,57180,123,0.
CHI,CHI,60596,60947,351,0.
CHI,CHI,61505,61984,479,0.
CHI,CHI,62472,62819,347,0.
CHI,CHI,66246,66636,390,0.
FA1,FA1,59459,60316,857,0.
FA1,FA1,69152,71674,2522,0.
FA1,FA1,76256,76940,684,0.
UC1,UC1,996,1435,439,0.
UC1,UC1,4176,5267,1091,0.
UC1,UC1,49381,50001,620,0.
xds@FA1,FA1,59459,60316,857,T
xds@FA1,FA1,69152,71674,2522,T
xds@FA1,FA1,76256,76940,684,T
xds@UC1,UC1,996,1435,439,U
xds@UC1,UC1,4176,5267,1091,C
xds@UC1,UC1,49381,50001,620,C
