tier,speaker,start,stop,dur,val
CHI,CHI,1699,1910,211,0.
CHI,CHI,2831,2989,158,0.
CHI,CHI,3414,4124,710,0.
CHI,CHI,4936,5279,343,0.
CHI,CHI,6332,6699,367,0.
CHI,CHI,7179,7406,227,0.
CHI,CHI,8517,9263,746,0.
CHI,CHI,18601,18844,243,0.
CHI,CHI,19192,19643,451,0.
CHI,CHI,21379,21584,205,0.
CHI,CHI,22526,22830,304,0.
CHI,CHI,37471,37788,317,0.
CHI,CHI,47032,47276,244,0.
CHI,CHI,47919,48163,244,0.
CHI,CHI,48463,48832,369,0.
CHI,CHI,49445,49731,286,0.
CHI,CHI,50181,50324,143,0.
CHI,CHI,51209,51330,121,0.
CHI,CHI,56191,56596,405,0.
CHI,CHI,67068,67197,129,0.
CHI,CHI,67689,67768,79,0.
CHI,CHI,68205,69145,940,0.
CHI,CHI,69602,69887,285,0.
CHI,CHI,78421,79191,770,0.
CHI,CHI,80036,80195,159,0.
CHI,CHI,80578,80969,391,0.
CHI,CHI,85169,85459,290,0.
CHI,CHI,94270,94558,288,0.
CHI,CHI,95026,95119,93,0.
CHI,CHI,95463,95782,319,0.
CHI,CHI,116034,116502,468,0.
CHI,CHI,121026,121514,488,0.
CHI,CHI,121987,122227,240,0.
CHI,CHI,122610,124451,1841,0.
CHI,CHI,124870,125405,535,0.
CHI,CHI,139084,139600,516,0.
CHI,CHI,140552,140727,175,0.
FA1,FA1,85973,87423,1450,0.
FA1,FA1,97324,97674,350,0.
FA1,FA1,103030,104120,1090,0.
UC1,UC1,11082,11868,786,0.
UC1,UC1,12854,14993,2139,0.
UC1,UC1,15883,18945,3062,0.
UC1,UC1,26431,27346,915,0.
UC1,UC1,27925,29106,1181,0.
UC1,UC1,32493,34098,1605,0.
UC1,UC1,66421,67639,1218,0.
UC1,UC1,70068,70415,347,0.
UC1,UC1,83112,85009,1897,0.
UC1,UC1,88907,89471,564,0.
UC1,UC1,90245,90697,452,0.
UC1,UC1,91262,92344,1082,0.
UC1,UC1,96711,97256,545,0.
UC1,UC1,109582,112078,2496,0.
UC1,UC1,131820,132137,317,0.
UC1,UC1,140711,141245,534,0.
UC1,UC1,141429,141834,405,0.
UC1,UC1,142933,143427,494,0.
UC1,UC1,145854,146165,311,0.
UC1,UC1,149749,150372,623,0.
MA1,MA1,20616,21213,597,0.
MA1,MA1,142417,143461,1044,0.
MA1,MA1,145858,146334,476,0.
MA1,MA1,148250,148516,266,0.
FA2,FA2,35320,37522,2202,0.
FA2,FA2,37905,39135,1230,0.
FA2,FA2,39806,42211,2405,0.
FA2,FA2,62703,65045,2342,0.
FA2,FA2,72877,75657,2780,0.
FA2,FA2,76389,78574,2185,0.
FA2,FA2,103816,105192,1376,0.
FA2,FA2,127723,128548,825,0.
xds@FA1,FA1,85973,87423,1450,A
xds@FA1,FA1,97324,97674,350,A
xds@FA1,FA1,103030,104120,1090,A
xds@UC1,UC1,11082,11868,786,A
xds@UC1,UC1,12854,14993,2139,A
xds@UC1,UC1,15883,18945,3062,A
xds@UC1,UC1,26431,27346,915,C
xds@UC1,UC1,27925,29106,1181,C
xds@UC1,UC1,32493,34098,1605,C
xds@UC1,UC1,66421,67639,1218,C
xds@UC1,UC1,70068,70415,347,C
xds@UC1,UC1,83112,85009,1897,C
xds@UC1,UC1,88907,89471,564,C
xds@UC1,UC1,90245,90697,452,C
xds@UC1,UC1,91262,92344,1082,C
xds@UC1,UC1,96711,97256,545,A
xds@UC1,UC1,109582,112078,2496,C
xds@UC1,UC1,131820,132137,317,C
xds@UC1,UC1,140711,141245,534,C
xds@UC1,UC1,141429,141834,405,C
xds@UC1,UC1,142933,143427,494,C
xds@UC1,UC1,145854,146165,311,C
xds@UC1,UC1,149749,150372,623,C
xds@MA1,MA1,20616,21213,597,A
xds@MA1,MA1,142417,143461,1044,C
xds@MA1,MA1,145858,146334,476,C
xds@MA1,MA1,148250,148516,266,C
xds@FA2,FA2,35320,37522,2202,C
xds@FA2,FA2,37905,39135,1230,C
xds@FA2,FA2,39806,42211,2405,C
xds@FA2,FA2,62703,65045,2342,U
xds@FA2,FA2,72877,75657,2780,A
xds@FA2,FA2,76389,78574,2185,A
xds@FA2,FA2,103816,105192,1376,A
xds@FA2,FA2,127723,128548,825,U
