aclew_child_id,age_mo_round,xds_mph,ods_mph,tds_mph,prop_tds,n_spkrs_clip,Sample,segment
1143,8,67.91999999999999,56.58,11.34,0.1669611307420495,8,Turn taking,NA
1143,8,49.379999999999995,44.76,4.68,0.09477521263669503,7,Turn taking,NA
1143,8,106.25999999999999,87.42,18.9,0.17786561264822134,9,Turn taking,NA
1143,8,49.86,40.02,9.84,0.197352587244284,7,Turn taking,NA
1143,8,83.03999999999999,72.12,10.92,0.1315028901734104,9,Turn taking,NA
2977,13,68.244,56.592,11.424,0.16739933180938982,13,Turn taking,NA
2977,13,40.74,34.68,6.0600000000000005,0.1487481590574374,10,Turn taking,NA
2977,13,65.7,57.839999999999996,7.86,0.11963470319634704,10,Turn taking,NA
2977,13,59.339999999999996,56.220000000000006,3.1199999999999997,0.0525783619817998,6,Turn taking,NA
2977,13,44.4,21.36,23.04,0.518918918918919,9,Turn taking,NA
2977,13,80.94,41.279999999999994,39.660000000000004,0.48999258710155674,10,Turn taking,NA
3729,3.5,80.772,66.91199999999999,13.860000000000001,0.1715941167731392,12,Turn taking,NA
3729,3.5,20.88,6.239999999999999,14.64,0.7011494252873564,4,Turn taking,NA
3729,3.5,18.54,2.82,15.66,0.8446601941747574,3,Turn taking,NA
3729,3.5,39.54,27,12.54,0.3171471927162367,4,Turn taking,NA
3729,3.5,72.48,53.28,19.2,0.26490066225165565,8,Turn taking,NA
3729,3.5,64.32000000000001,43.98,20.28,0.31529850746268656,9,Turn taking,NA
3956,26,9.84,1.2,8.639999999999999,0.8780487804878048,2,Turn taking,NA
3956,26,33.120000000000005,21,12.120000000000001,0.36594202898550726,5,Turn taking,NA
3956,26,23.04,5.76,17.279999999999998,0.7499999999999999,4,Turn taking,NA
3956,26,20.759999999999998,0,20.759999999999998,1,1,Turn taking,NA
3956,26,21.78,5.46,15.96,0.7327823691460056,4,Turn taking,NA
4569,20,40.044,37.715999999999994,2.3280000000000003,0.05813605034462092,11,Turn taking,NA
4569,20,40.044,37.715999999999994,2.3280000000000003,0.05813605034462092,11,Turn taking,NA
4569,20,40.044,37.715999999999994,2.3280000000000003,0.05813605034462092,11,Turn taking,NA
4569,20,37.8,25.32,12.42,0.32857142857142857,6,Turn taking,NA
4569,20,25.919999999999998,17.939999999999998,7.92,0.3055555555555556,5,Turn taking,NA
4569,20,22.68,5.88,16.8,0.7407407407407408,2,Turn taking,NA
4569,20,19.92,11.76,8.16,0.40963855421686746,5,Turn taking,NA
4569,20,34.559999999999995,24.54,10.020000000000001,0.2899305555555556,5,Turn taking,NA
5019,36,28.5,11.4,17.099999999999998,0.6,3,Turn taking,NA
5019,36,21.18,5.58,15.600000000000001,0.7365439093484419,3,Turn taking,NA
5019,36,28.56,19.740000000000002,8.82,0.3088235294117647,5,Turn taking,NA
5019,36,16.02,16.02,0,0,2,Turn taking,NA
5019,36,36.9,23.16,13.74,0.3723577235772358,3,Turn taking,NA
6934,17,64.68,48.480000000000004,16.200000000000003,0.2504638218923933,12,Turn taking,NA
6934,17,48.24,34.98,13.26,0.27487562189054726,6,Turn taking,NA
6934,17,35.04,10.92,24.060000000000002,0.6866438356164385,7,Turn taking,NA
6934,17,40.440000000000005,20.16,20.28,0.5014836795252225,5,Turn taking,NA
6934,17,23.28,4.38,18.9,0.8118556701030928,3,Turn taking,NA
8018,9,32.46,15.600000000000001,16.860000000000003,0.5194085027726433,5,Turn taking,NA
8018,9,29.16,14.040000000000001,15.120000000000001,0.5185185185185185,4,Turn taking,NA
8018,9,38.28,28.86,9.48,0.2476489028213166,3,Turn taking,NA
8018,9,43.08,18.66,24.419999999999998,0.5668523676880223,4,Turn taking,NA
8018,9,41.339999999999996,13.56,27.78,0.6719883889695212,5,Turn taking,NA
8427,1,47.339999999999996,35.24399999999999,12.096,0.2555133079847909,9,Turn taking,NA
8427,1,43.08,15.3,27.78,0.6448467966573816,6,Turn taking,NA
8427,1,43.199999999999996,35.04,8.16,0.1888888888888889,6,Turn taking,NA
8427,1,18.24,0,18.24,1,1,Turn taking,NA
8427,1,17.099999999999998,0,17.099999999999998,1,1,Turn taking,NA
8427,1,40.38,26.34,14.040000000000001,0.3476968796433878,4,Turn taking,NA
9732,4.5,15.9,10.404,5.496,0.3456603773584906,7,Turn taking,NA
9732,4.5,15.9,10.404,5.496,0.3456603773584906,7,Turn taking,NA
9732,4.5,17.939999999999998,7.32,10.62,0.5919732441471571,2,Turn taking,NA
9732,4.5,6.6,2.82,3.7800000000000002,0.5727272727272728,2,Turn taking,NA
9732,4.5,9.48,4.140000000000001,5.34,0.5632911392405063,2,Turn taking,NA
9732,4.5,28.919999999999998,5.22,23.700000000000003,0.8195020746887968,2,Turn taking,NA
9732,4.5,68.88,39.480000000000004,29.34,0.4259581881533101,11,Turn taking,NA
1143,8,42.672000000000004,40.968,1.704,0.03993250843644544,8,Random,random-1
1143,8,50.08800000000001,45.192,4.896,0.09774796358409198,3,Random,random-2
1143,8,55.128,54.288000000000004,0.8400000000000001,0.0152372659991293,5,Random,random-3
1143,8,27.432,24.672,2.76,0.10061242344706912,6,Random,random-4
1143,8,87,87,0,0,8,Random,random-5
1143,8,57.744,57.264,0.48,0.00831255195344971,7,Random,random-6
1143,8,24.384,19.968,4.4399999999999995,0.18208661417322833,4,Random,random-7
1143,8,69.552,61.632000000000005,7.92,0.11387163561076605,6,Random,random-8
1143,8,33.672000000000004,32.424,1.248,0.037063435495367066,7,Random,random-9
2977,13,29.951999999999998,27.503999999999998,2.448,0.08173076923076923,8,Random,random-1
