effect,component,group,term,estimate,std.error,statistic,p.value,model
fixed,cond,NA,tchiyr.std:nsk.std,0.04192531540417173,0.06646501621101555,0.6307877105012013,0.5281793399795913,ODS_random_log_gaus.v2
ran_pars,cond,aclew_child_id,sd__(Intercept),0.1965476770046253,NA,NA,NA,ODS_random_log_gaus.v2
ran_pars,cond,Residual,sd__Observation,0.6577061585179755,NA,NA,NA,ODS_random_log_gaus.v2
fixed,cond,NA,(Intercept),2.6164470581314547,0.33147265951133126,7.893402315559642,2.940577455528186e-15,ODS_turntaking_nb
fixed,cond,NA,tchiyr.std,-0.045057779810727394,0.333901557212097,-0.1349433054069476,0.8926566999049902,ODS_turntaking_nb
fixed,cond,NA,stthr.trimorning,0.42968931211853406,0.3433971286083713,1.2512897643025287,0.210828778513815,ODS_turntaking_nb
fixed,cond,NA,stthr.triafternoon,0.34822423529465996,0.3474513960513097,1.0022243089310716,0.31623526973702737,ODS_turntaking_nb
fixed,cond,NA,hsz.std,0.033360843519922086,0.12175985061752843,0.2739888670257574,0.7840931772361637,ODS_turntaking_nb
fixed,cond,NA,nsk.std,0.559717361552842,0.0828312009207187,6.757325202716444,1.4056246133273549e-11,ODS_turntaking_nb
fixed,cond,NA,tchiyr.std:stthr.trimorning,-0.14626743908810755,0.33242057551235527,-0.440007177241263,0.6599319090705538,ODS_turntaking_nb
fixed,cond,NA,tchiyr.std:stthr.triafternoon,0.029573536417084184,0.3508569316932052,0.0842894460553048,0.9328263033687109,ODS_turntaking_nb
fixed,cond,NA,tchiyr.std:nsk.std,-0.16430098408115568,0.10849018770309554,-1.5144317431802885,0.12991637341066017,ODS_turntaking_nb
ran_pars,cond,aclew_child_id,sd__(Intercept),0.27603596321877805,NA,NA,NA,ODS_turntaking_nb
fixed,cond,NA,(Intercept),2.96466747998868,0.15956931360175244,18.579183008756896,4.736611987679038e-77,ODS_turntaking_nb.v2
fixed,cond,NA,tchiyr.std,-0.01548774687492502,0.18449981140834026,-0.08394451331252092,0.9331005479275669,ODS_turntaking_nb.v2
fixed,cond,NA,stthr.tri.amidday,-0.348222875127353,0.3474523171629324,-1.0022177373019483,0.31623844295727566,ODS_turntaking_nb.v2
fixed,cond,NA,stthr.tri.amorning,0.08147055168058574,0.17306117255923054,0.4707615837556069,0.6378110009777833,ODS_turntaking_nb.v2
